type,subject,code,duration,date
Cambridge International AS Level,Language & Literature in English ,8695/23,2h,Friday 12 May 2023 PM
Cambridge International AS Level,Law ,9084/13,1h 30m,Tuesday 23 May 2023 PM
Cambridge International AS Level,Law ,9084/23,1h 30m,Thursday 25 May 2023 PM
Cambridge International AS Level,Literature in English ,9695/13,2h,Friday 12 May 2023 PM
Cambridge International AS Level,Literature in English ,9695/23,2h,Friday 19 May 2023 PM
Cambridge International AS Level,Marine Science ,9693/11,1h 45m,Monday 24 April 2023 AM
Cambridge International AS Level,Marine Science ,9693/21,1h 45m,Thursday 27 April 2023 AM
Cambridge International AS Level,Mathematics (Mechanics) ,9709/41,1h 15m,Friday 05 May 2023 AM
Cambridge International AS Level,Mathematics (Probability & Statistics 1) ,9709/51,1h 15m,Wednesday 10 May 2023 AM
Cambridge International AS Level,Mathematics (Pure Mathematics 1) ,9709/11,1h 50m,Wednesday 03 May 2023 AM
Cambridge International AS Level,Mathematics (Pure Mathematics 2) ,9709/21,1h 15m,Friday 05 May 2023 AM
Cambridge International AS Level,Media Studies ,9607/23,2h,Thursday 04 May 2023 PM
Cambridge International AS Level,Music (Listening) ,9483/11,2h,Wednesday 17 May 2023 AM
Cambridge International AS Level,Physical Education ,9396/11,2h 30m,Wednesday 31 May 2023 AM
Cambridge International AS Level,Physics (Multiple Choice) ,9702/13,1h 15m,Tuesday 06 June 2023 PM
Cambridge International AS Level,Physics (Practical – Advanced) ,9702/35,2h,Tuesday 02 May 2023 PM
Cambridge International AS Level,Physics ,9702/23,1h 15m,Wednesday 17 May 2023 PM
Cambridge International AS Level,Portuguese Language ,8684/02,1h 45m,Monday 08 May 2023 AM
Cambridge International AS Level,Portuguese Language ,8684/03,1h 30m,Monday 15 May 2023 AM
Cambridge International AS Level,Psychology ,9990/13,1h 30m,Tuesday 25 April 2023 PM
Cambridge International AS Level,Psychology ,9990/23,1h 30m,Thursday 27 April 2023 PM
Cambridge International AS Level,Sociology ,9699/11,1h 30m,Monday 08 May 2023 AM
Cambridge International AS Level,Sociology ,9699/21,1h 30m,Thursday 11 May 2023 AM
Cambridge International AS Level,Spanish Language ,8685/21,1h 45m,Thursday 27 April 2023 AM
Cambridge International AS Level,Spanish Language ,8685/31,1h 30m,Friday 19 May 2023 AM
Cambridge International AS Level,Spanish Literature ,8673/41,2h 30m,Monday 22 May 2023 AM
Cambridge International AS Level,Thinking Skills ,9694/11,1h 30m,Monday 24 April 2023 AM
Cambridge International AS Level,Thinking Skills ,9694/21,1h 45m,Friday 28 April 2023 AM
Cambridge International AS Level,Travel & Tourism ,9395/11,2h 30m,Tuesday 25 April 2023 AM
Cambridge International AS Level,Urdu Language ,8686/02,1h 45m,Tuesday 25 April 2023 AM
Cambridge International AS Level,Urdu Language ,8686/03,1h 30m,Wednesday 17 May 2023 AM
Cambridge International A Level,Accounting ,9706/31,1h 30m,Monday 08 May 2023 AM
Cambridge International A Level,Accounting ,9706/41,1h,Monday 15 May 2023 AM
Cambridge International A Level,Biology ,9700/43,2h,Wednesday 03 May 2023 PM
Cambridge International A Level,Biology ,9700/53,1h 15m,Wednesday 10 May 2023 PM
Cambridge International A Level,Business ,9609/31,1h 45m,Tuesday 09 May 2023 AM
Cambridge International A Level,Business ,9609/41,1h 15m,Thursday 11 May 2023 AM
Cambridge International A Level,Chemistry ,9701/43,2h,Thursday 04 May 2023 PM
Cambridge International A Level,Chemistry ,9701/53,1h 15m,Thursday 11 May 2023 PM
Cambridge International A Level,Computer Science (Advanced) ,9618/31,1h 30m,Monday 22 May 2023 AM
Cambridge International A Level,Computer Science (Practical) ,9618/41,2h 30m,Wednesday 24 May 2023 AM
Cambridge International A Level,Economics (Multiple Choice) ,9708/33,1h 15m,Friday 09 June 2023 PM
Cambridge International A Level,Economics ,9708/43,2h,Monday 15 May 2023 PM
Cambridge International A Level,English Language ,9093/33,2h 15m,Monday 08 May 2023 PM
Cambridge International A Level,English Language ,9093/43,2h 15m,Tuesday 16 May 2023 PM
Cambridge International A Level,French ,9716/21,1h 45m,Wednesday 26 April 2023 AM
Cambridge International A Level,French ,9716/31,1h 30m,Tuesday 16 May 2023 AM
Cambridge International A Level,French ,9716/41,2h 30m,Thursday 25 May 2023 AM
Cambridge International A Level,Further Mathematics ,9231/21,2h,Tuesday 23 May 2023 AM
Cambridge International A Level,Geography (Advanced) ,9696/33,1h 30m,Thursday 18 May 2023 PM
Cambridge International A Level,Geography (Advanced) ,9696/43,1h 30m,Monday 22 May 2023 PM
Cambridge International A Level,German ,9717/02,1h 45m,Wednesday 31 May 2023 AM
Cambridge International A Level,German ,9717/03,1h 30m,Friday 02 June 2023 AM
Cambridge International A Level,German ,9717/04,2h 30m,Tuesday 06 June 2023 AM
Cambridge International A Level,History ,9489/31,1h 15m,Wednesday 10 May 2023 AM
Cambridge International A Level,History ,9489/41,1h 45m,Friday 12 May 2023 AM
Cambridge International A Level,Information Technology (Advanced) ,9626/31,1h 45m,Monday 15 May 2023 AM
Cambridge International A Level,Law ,9084/33,1h 30m,Monday 29 May 2023 PM
Cambridge International A Level,Law ,9084/43,1h 30m,Wednesday 31 May 2023 PM
Cambridge International A Level,Literature in English ,9695/33,2h,Wednesday 24 May 2023 PM
Cambridge International A Level,Literature in English ,9695/43,2h,Friday 26 May 2023 PM
Cambridge International A Level,Marine Science ,9693/31,1h 45m,Monday 01 May 2023 AM
Cambridge International A Level,Marine Science ,9693/41,1h 45m,Wednesday 03 May 2023 AM
Cambridge International A Level,Mathematics (Probability & Statistics 2) ,9709/61,1h 15m,Friday 05 May 2023 AM
Cambridge International A Level,Mathematics (Pure Mathematics 3) ,9709/31,1h 50m,Friday 12 May 2023 AM
Cambridge International A Level,Media Studies ,9607/43,2h,Wednesday 24 May 2023 PM
Cambridge International A Level,Physical Education ,9396/31,2h 30m,Monday 05 June 2023 AM
Cambridge International A Level,Physics ,9702/43,2h,Tuesday 09 May 2023 PM
Cambridge International A Level,Physics ,9702/53,1h 15m,Wednesday 17 May 2023 PM
Cambridge International A Level,Portuguese ,9718/02,1h 45m,Monday 08 May 2023 AM
Cambridge International A Level,Portuguese ,9718/03,1h 30m,Monday 15 May 2023 AM
Cambridge International A Level,Portuguese ,9718/04,2h 30m,Monday 29 May 2023 AM
Cambridge International A Level,Psychology ,9990/33,1h 30m,Monday 08 May 2023 PM
Cambridge International A Level,Psychology ,9990/43,1h 30m,Monday 22 May 2023 PM
Cambridge International A Level,Sociology ,9699/31,1h 15m,Wednesday 17 May 2023 AM
Cambridge International A Level,Sociology ,9699/41,1h 45m,Tuesday 23 May 2023 AM
Cambridge International A Level,Spanish ,9719/21,1h 45m,Thursday 27 April 2023 AM
Cambridge International A Level,Spanish ,9719/31,1h 30m,Friday 19 May 2023 AM
Cambridge International A Level,Spanish ,9719/41,2h 30m,Monday 22 May 2023 AM
Cambridge International A Level,Thinking Skills ,9694/31,2h,Tuesday 16 May 2023 AM
Cambridge International A Level,Thinking Skills ,9694/41,1h 45m,Thursday 18 May 2023 AM
Cambridge International A Level,Travel & Tourism ,9395/31,1h 30m,Wednesday 24 May 2023 AM
Cambridge International A Level,Travel & Tourism ,9395/41,1h 30m,Friday 26 May 2023 AM
